Stakes,Response,Model,Sequence,Order_in_Sequence,Framing,Temperature
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,0,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
100,1,3.5,1,1,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
200,0,3.5,1,2,1,1
200,1,3.5,1,2,1,1
